Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svdd_decision_templates_agg_des,0.07333333333333336,0.09333333333333338,0.09999999999999998,0.08666666666666689,0.06666666666666665,0.08400000000000005,0.01236482466066095
parzen_ecoc_agg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parzen_max_agg_desthr,0.2866666666666666,0.5,0.43333333333333335,0.41333333333333333,0.4666666666666667,0.42000000000000004,0.0729078566106257
svdd_max_agg,0.0,0.040000000000000036,0.00666666666666671,0.02000000000000024,0.0,0.013333333333333397,0.015202339001321868
kmeans_max_agg,0.1266666666666667,0.5133333333333334,0.4866666666666667,0.2733333333333333,0.1266666666666667,0.3053333333333334,0.16793649593422708
kmeans_decision_templates_agg_desthr,0.6466666666666667,0.8666666666666667,0.7733333333333333,0.8333333333333334,0.8133333333333334,0.7866666666666667,0.07624521842931091
parzen_decision_templates_agg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svdd_ecoc_agg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svdd_max_agg_desthr,0.21999999999999997,0.3466666666666667,0.38,0.43333333333333335,0.3666666666666667,0.34933333333333333,0.07075466219424854
svdd_ecoc_agg_des,-0.019999999999999796,2.220446049250313e-16,-0.026666666666666394,2.220446049250313e-16,-0.040000000000000036,-0.017333333333333156,0.01554920505292087
kmeans_ecoc_agg_des,0.16666666666666663,0.18000000000000005,0.20666666666666667,0.21999999999999997,0.36,0.22666666666666666,0.06928203230275509
svdd_decision_templates_agg,0.0,0.040000000000000036,0.00666666666666671,0.02000000000000024,0.0,0.013333333333333397,0.015202339001321868
kmeans_decision_templates_agg_des,0.56,0.8133333333333334,0.7466666666666666,0.7933333333333333,0.7466666666666666,0.732,0.08987893091388115
svdd_decision_templates_agg_desthr,0.21999999999999997,0.3466666666666667,0.38,0.43333333333333335,0.3666666666666667,0.34933333333333333,0.07075466219424854
parzen_decision_templates_agg_des,0.026666666666666616,0.02000000000000035,0.02666666666666606,0.040000000000000036,0.019999999999999574,0.026666666666666526,0.007302967433402242
parzen_ecoc_agg_des,-0.040000000000000036,-0.026666666666666616,0.0,-0.03333333333333344,0.0,-0.020000000000000018,0.016865480854231375
kmeans_max_agg_des,0.18666666666666665,0.5666666666666667,0.4866666666666667,0.6066666666666667,0.5066666666666666,0.4706666666666667,0.1482700239428051
kmeans_max_agg_desthr,0.5666666666666667,0.7133333333333334,0.56,0.7133333333333334,0.6666666666666667,0.6440000000000001,0.06806532809653451
parzen_decision_templates_agg_desthr,0.2533333333333333,0.17333333333333323,0.1333333333333333,0.1466666666666666,0.2400000000000001,0.1893333333333333,0.04873511168665888
kmeans_decision_templates_agg,0.54,0.76,0.7266666666666667,0.7666666666666666,0.7066666666666667,0.7,0.08294576541331086
kmeans_ecoc_agg,0.18666666666666665,0.26,0.21333333333333337,0.28,0.3466666666666667,0.2573333333333333,0.05555377774933243
svdd_max_agg_des,0.07333333333333336,0.09333333333333338,0.09999999999999998,0.08666666666666689,0.06666666666666665,0.08400000000000005,0.01236482466066095
parzen_max_agg,0.0,0.0,0.0,0.00666666666666671,0.0,0.001333333333333342,0.002666666666666684
parzen_ecoc_agg_desthr,-0.040000000000000036,-0.040000000000000036,-0.04000000000000026,-0.040000000000000036,0.0,-0.03200000000000007,0.01600000000000004
kmeans_ecoc_agg_desthr,0.16000000000000003,0.21333333333333337,0.19999999999999996,0.26,0.4134837221225327,0.24936341109117324,0.08805605670967526
svdd_ecoc_agg_desthr,-0.026666666666666394,-0.020000000000000018,-0.040000000000000036,-0.020000000000000018,-0.03973340169187378,-0.02928001367170805,0.008980627127788434
parzen_max_agg_des,0.07333333333333336,0.23333333333333328,0.18666666666666665,0.18000000000000005,0.15333333333333332,0.16533333333333333,0.05272991982209382
