Technique,Fold1,Fold2,Fold3,Fold4,Fold5,mean,std
svdd_decision_templates_agg_des,1.0,0.9,1.0,0.9,0.95,0.95,0.04472135954999579
parzen_ecoc_agg,0.5714285714285714,0.6,0.6,0.8,0.8,0.6742857142857142,0.10317411477295883
parzen_max_agg_desthr,0.9047619047619048,0.95,0.85,0.9,0.95,0.910952380952381,0.037209951610640564
svdd_max_agg,0.9047619047619048,0.9,0.85,0.9,0.95,0.900952380952381,0.031680090244723604
kmeans_max_agg,0.6666666666666666,0.9,0.65,0.8,0.9,0.7833333333333333,0.10852547064066471
kmeans_decision_templates_agg_desthr,0.8095238095238095,0.75,0.7,0.65,0.85,0.7519047619047619,0.07214560736546279
parzen_decision_templates_agg,0.7142857142857143,0.65,0.65,0.8,0.8,0.7228571428571428,0.06721880203439196
svdd_ecoc_agg,0.3333333333333333,0.5,0.45,0.5,0.55,0.4666666666666666,0.07378647873726221
svdd_max_agg_desthr,0.8095238095238095,0.9,0.8,0.9,0.95,0.8719047619047618,0.05786057211079631
svdd_ecoc_agg_des,0.3333333333333333,0.5,0.55,0.6,0.7,0.5366666666666667,0.12128936932440167
kmeans_ecoc_agg_des,0.5714285714285714,0.75,0.65,0.75,0.95,0.7342857142857143,0.12700634726224497
svdd_decision_templates_agg,1.0,0.9,1.0,0.9,0.95,0.95,0.04472135954999579
kmeans_decision_templates_agg_des,0.8095238095238095,0.7,0.6,0.65,0.85,0.7219047619047619,0.09444191006336769
svdd_decision_templates_agg_desthr,0.9047619047619048,0.9,0.85,0.9,0.95,0.900952380952381,0.031680090244723604
parzen_decision_templates_agg_des,0.7142857142857143,0.75,0.7,0.9,0.85,0.7828571428571429,0.0785844145112861
parzen_ecoc_agg_des,0.5714285714285714,0.75,0.6,0.8,0.75,0.6942857142857143,0.09095861359846634
kmeans_max_agg_des,0.7142857142857143,0.9,0.65,0.8,0.9,0.7928571428571428,0.09959100033104787
kmeans_max_agg_desthr,0.7142857142857143,0.9,0.7,0.8,0.9,0.8028571428571428,0.08637837975903416
parzen_decision_templates_agg_desthr,0.9047619047619048,0.95,0.85,0.9,0.95,0.910952380952381,0.037209951610640564
kmeans_decision_templates_agg,0.7619047619047619,0.7,0.6,0.65,0.85,0.7123809523809523,0.08725337774228366
kmeans_ecoc_agg,0.47619047619047616,0.75,0.6,0.75,0.95,0.7052380952380952,0.15965808137343315
svdd_max_agg_des,0.9047619047619048,0.9,0.85,0.9,0.95,0.900952380952381,0.031680090244723604
parzen_max_agg,0.9523809523809523,0.9,0.85,0.9,0.9,0.9004761904761904,0.03238095238095237
parzen_ecoc_agg_desthr,0.5714285714285714,0.6,0.6,0.8,0.75,0.6642857142857143,0.0923613135728264
kmeans_ecoc_agg_desthr,0.42857142857142855,0.7,0.6,0.75,0.85,0.6657142857142857,0.1433847400299955
svdd_ecoc_agg_desthr,0.3333333333333333,0.55,0.6,0.6,0.75,0.5666666666666667,0.13457752825457567
parzen_max_agg_des,0.9523809523809523,0.9,0.85,0.9,0.9,0.9004761904761904,0.03238095238095237
