0.5280898876404495,0.5517241379310345,0.3291139240506329,0.13,0.0,0.0,0.6575342465753424,0.22,7
0.3595505617977528,0.6206896551724137,0.3417721518987341,0.27,0.0,0.0,0.726027397260274,0.22,7
0.5955056179775282,0.5632183908045976,0.35443037974683544,0.15,0.0,0.0,0.726027397260274,0.22,7
0.5280898876404495,0.3563218390804597,0.45569620253164544,0.13,0.0,0.0,0.7397260273972602,0.22,8
0.34831460674157305,0.3563218390804597,0.3417721518987341,0.54,0.0,0.0,0.6575342465753424,0.22,7
0.44943820224719105,0.3103448275862069,0.44303797468354433,0.17,0.0,0.6024096385542169,0.6712328767123287,0.22,1
0.43820224719101125,0.471264367816092,0.3417721518987341,0.65,0.0,0.0,0.726027397260274,0.22,7
0.41573033707865165,0.36781609195402304,0.481012658227848,0.2,0.0,0.0,0.7945205479452054,0.34,8
0.49438202247191015,0.42528735632183906,0.5696202531645569,0.36,0.0,0.0,0.6712328767123287,0.22,7
0.3258426966292135,0.2988505747126437,0.49367088607594933,0.15,0.0,0.0,0.7945205479452054,0.3,1
0.3595505617977528,0.2988505747126437,0.4177215189873418,0.21,0.0,0.0,0.726027397260274,0.27,8
0.34831460674157305,0.27586206896551724,0.481012658227848,0.2,0.0,0.0,0.7123287671232876,0.29,8
0.3258426966292135,0.3333333333333333,0.45569620253164544,0.35,0.0,0.0,0.726027397260274,0.25,1
0.550561797752809,0.3103448275862069,0.3924050632911392,0.46,0.0,0.0,0.726027397260274,0.22,7
0.6179775280898877,0.4827586206896552,0.30379746835443033,0.19,0.0,0.0,0.6301369863013698,0.22,7
0.39325842696629215,0.3563218390804597,0.3924050632911392,0.11,0.0,0.0,0.684931506849315,0.22,1
0.40449438202247184,0.2988505747126437,0.36708860759493667,0.11,0.0,0.0,0.6712328767123287,0.4,1
0.5280898876404495,0.39080459770114934,0.4177215189873418,0.11,0.0,0.0,0.6986301369863014,0.26,8
0.43820224719101125,0.24137931034482762,0.430379746835443,0.21,0.0,0.0,0.6712328767123287,0.22,8
0.5617977528089888,0.5402298850574712,0.430379746835443,0.21,0.0,0.0,0.684931506849315,0.25,8
0.38202247191011235,0.3103448275862069,0.36708860759493667,0.16,0.0,0.0,0.684931506849315,0.22,1
0.3595505617977528,0.3563218390804597,0.3417721518987341,0.22,0.0,0.0,0.6986301369863014,0.22,1
0.6966292134831461,0.5747126436781609,0.26582278481012656,0.3,0.0,0.0,0.6712328767123287,0.22,1
0.3595505617977528,0.4597701149425288,0.3924050632911392,0.13,0.0,0.0,0.7534246575342466,0.22,1
0.39325842696629215,0.4597701149425288,0.3924050632911392,0.15,0.0,0.0,0.7945205479452054,0.22,1
