0,0,0,-3.639,0.418,-0.67,1.779,-0.168,1.6269999999999998,-0.388,0.529,-0.8740000000000001,-0.8140000000000001,1
0,0,0,-3.327,0.496,-0.6940000000000001,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,2
0,0,0,-2.12,0.894,-1.5759999999999998,0.147,-0.7070000000000001,1.5590000000000002,-0.579,0.6759999999999999,-0.809,-0.049,3
0,0,0,-2.287,1.809,-1.4980000000000002,1.012,-1.053,1.06,-0.5670000000000001,0.235,-0.091,-0.795,4
0,0,0,-2.5980000000000003,1.938,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,5
0,0,0,-2.852,1.914,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,6
0,0,0,-3.482,2.524,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,7
0,0,0,-3.941,2.305,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,8
0,0,0,-3.86,2.116,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.16699999999999998,-0.434,9
0,0,0,-3.648,1.812,-1.378,1.578,0.065,1.577,-0.466,0.7020000000000001,0.06,-0.836,10
0,0,0,-3.032,1.739,-1.141,0.737,-0.8340000000000001,1.386,-0.575,0.679,-0.018000000000000002,-0.823,11
0,0,0,-3.653,0.373,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,1
0,0,0,-3.237,0.436,-0.86,1.3630000000000002,-0.251,1.915,-0.395,0.7509999999999999,-0.774,-0.327,2
0,0,0,-2.135,0.954,-1.632,0.121,-0.7040000000000001,1.6,-0.628,0.713,-0.903,-0.027000000000000003,3
0,0,0,-2.3040000000000003,1.784,-1.506,0.981,-0.961,0.8059999999999999,-0.294,-0.002,0.119,-0.76,4
0,0,0,-2.54,2.144,-1.024,0.933,-1.567,1.024,0.188,-0.047,0.309,-0.633,5
0,0,0,-2.826,2.003,-0.738,0.8009999999999999,-1.669,0.939,0.245,-0.257,0.256,-0.458,6
0,0,0,-3.582,2.374,-0.358,1.162,-1.953,0.621,0.339,0.355,0.415,-0.259,7
0,0,0,-3.951,2.25,0.127,1.7719999999999998,-1.906,0.5670000000000001,-0.4320000000000001,1.045,0.598,-0.293,8
0,0,0,-3.783,1.974,-1.2,0.606,-0.65,1.504,-0.134,0.528,0.392,-0.58,9
0,0,0,-3.673,1.811,-1.405,1.621,0.044,1.5719999999999998,-0.453,0.745,-0.066,-0.733,10
0,0,0,-2.946,1.649,-1.167,0.7879999999999999,-0.909,1.3,-0.562,0.902,-0.07,-0.8420000000000001,11
0,0,0,-3.665,0.337,-0.6409999999999999,1.791,-0.194,1.686,-0.359,0.57,-0.6759999999999999,-0.841,1
0,0,0,-3.165,0.408,-0.971,1.207,-0.298,1.921,-0.215,0.723,-0.4920000000000001,-0.425,2
0,0,0,-2.105,1.035,-1.705,0.231,-0.5579999999999999,1.554,-0.649,0.71,-0.855,-0.151,3
0,0,0,-2.312,1.746,-1.51,1.019,-0.99,0.941,-0.488,0.208,0.033,-0.847,4
0,0,0,-2.635,2.147,-1.129,0.911,-1.4069999999999998,1.095,-0.071,0.118,0.139,-0.685,5
0,0,0,-2.887,2.131,-0.83,0.682,-1.557,0.818,0.448,-0.382,0.207,-0.402,6
0,0,0,-3.635,2.25,-0.394,1.012,-1.693,0.117,0.665,0.281,0.343,-0.003,7
0,0,0,-3.986,2.325,0.102,1.633,-2.014,0.5760000000000001,-0.344,1.003,0.5660000000000001,-0.245,8
0,0,0,-3.712,1.816,-1.171,0.647,-0.767,1.6980000000000002,-0.34700000000000003,0.92,0.159,-0.359,9
0,0,0,-3.74,1.832,-1.384,1.587,0.049,1.642,-0.516,0.7070000000000001,-0.16899999999999998,-0.522,10
0,0,0,-2.859,1.6269999999999998,-1.14,0.769,-0.948,1.39,-0.608,0.956,-0.204,-0.727,11
0,0,0,-3.624,0.305,-0.708,1.758,-0.194,1.675,-0.273,0.561,-0.5770000000000001,-0.843,1
0,0,0,-3.062,0.35100000000000003,-1.071,1.061,-0.355,1.99,-0.21,0.7959999999999999,-0.358,-0.299,2
0,0,0,-2.081,1.05,-1.778,0.411,-0.518,1.46,-0.5760000000000001,0.735,-0.866,-0.172,3
0,0,0,-2.289,1.845,-1.616,0.987,-0.8759999999999999,1.044,-0.5489999999999999,0.196,-0.07,-0.8140000000000001,4
0,0,0,-2.724,2.067,-1.142,0.923,-1.157,1.17,-0.276,0.172,-0.008,-0.649,5
0,0,0,-3.015,2.232,-0.899,0.574,-1.331,0.546,0.61,-0.452,0.035,-0.156,6
0,0,0,-3.559,2.126,-0.445,1.053,-1.765,0.349,0.546,0.321,0.443,-0.118,7
0,0,0,-4.074,2.281,0.152,1.556,-1.6130000000000002,-0.047,0.222,0.252,0.775,0.125,8
0,0,0,-3.618,1.5759999999999998,-1.14,0.6990000000000001,-0.741,1.633,-0.387,1.086,0.235,-0.388,9
0,0,0,-3.687,1.784,-1.5930000000000002,1.6030000000000002,0.123,1.4240000000000002,-0.225,0.441,0.206,-0.7140000000000001,10
0,0,0,-2.69,1.652,-1.261,0.674,-0.964,1.449,-0.593,1.005,-0.303,-0.541,11
0,0,0,-3.593,0.29,-0.782,1.707,-0.175,1.662,-0.13699999999999998,0.493,-0.4920000000000001,-0.926,1
0,0,0,-3.0460000000000003,0.387,-1.165,0.94,-0.386,1.978,-0.18600000000000005,0.8109999999999999,-0.394,-0.198,2
0,0,0,-2.255,0.902,-1.723,0.454,-0.524,1.453,-0.614,0.7609999999999999,-0.885,-0.118,3
0,0,0,-2.299,1.848,-1.695,1.065,-0.861,1.047,-0.607,0.313,-0.253,-0.759,4
0,0,0,-2.911,1.928,-1.131,0.899,-0.911,1.111,-0.208,-0.047,-0.029,-0.539,5
